,Negativity,Sentences
0,1,layin n bed with a headache ughhhh waitin on your call
1,1,funeral ceremony gloomy friday
2,0,want to hang out with friend soon
3,0,we want to trade with someone who ha houston ticket but no one will
4,1,re pinging why didn't you go to prom bc my bf didn't like my friend
5,1,i should be sleep but im not thinking about an old friend who i want but he's married now damn amp he want me scandalous
6,1,hmmm is down
7,1,charlene my love i miss you
8,1,i'm sorry at least it's friday
9,0,cant fall asleep
10,1,choked on her retainer
11,1,ugh i have to beat this stupid song to get to the next rude
12,1,if u watch the hill in london u will realise what tourture it is because were week and week late i just watch itonlinelol
13,0,got the news
14,1,the storm is here and the electricity is gone
15,0,agreed
16,1,so sleepy again and it's not even that late i fail once again
17,1,lady gaga tweeted about not being impressed by her video leaking just so you know
18,1,how are you convinced that i have always wanted you what signal did i give off damn i think i just lost another friend
19,1,oh too bad i hope it get better i've been having sleep issue lately too
20,0,wondering why i'm awake at am writing a new song plotting my evil secret plot muahahaha oh damn it not secret anymore
21,0,no topic map talk at the balisage markup conference program online at via topicmaps
22,1,i ate something i don't know what it is why do i keep telling thing about food
23,1,so tired and i think i'm definitely going to get an ear infection going to bed quot early quot for once
24,1,on my way home n having deal w underage girl drinking gin on da bus while talking bout keggers damn i feel old
25,1,i'm sorry people are so rude to you isaac they should get some manner and know better than to be so lewd
26,1,damm server still down i need to hit before all the koxpers pas me
27,1,fudge just bs'd that whole paper so tired ugh i hate school time to sleep
28,1,i hate cancer i hate it i hate it i hate it
29,1,it is so annoying when she start typing on her computer in the middle of the night
30,0,i cant sleep
31,0,i missed the bl y bus
32,0,feel strong contraction but want to go out
33,0,socal stoked or maybe not tomorrow
34,0,screw you i only have week
35,1,yeah s i feel all funny cause i haven't slept enough i woke my mum up cause i wa singing she's not impressed s you
36,1,i need skott right now
37,0,ha work this afternoon
38,0,aw you would not unfollow me would you then i would cry
39,0,mmm much better day so far it's still quite early last day of uds
40,0,lt your gonna be the first twitter cause your amazing lol come to canada would do anything to see you perform
41,1,just picked up her blackberry from the middle of the street both she and it are crushed
42,1,why do i have the feeling i should be packing and hitting for sfo around this time of the year i think i'm missing something
43,1,bed it time hope i go to school tomorrow all though i don't feel very well right now
44,1,ahh well i wa hoping that i could learn some stuff on the way why not you and i work on separate thing but also
45,1,i'm having a problem with my photo here in twitter amf can't see my face
46,0,oh noooo if i blow a tire you're reaaaally going to have to send up some batman smoke
47,0,wnna take a bath
48,0,chocolate milk is so much better through a straw i lack said straw
49,1,why am i so tired
50,0,time diff and i've just been wrapped up in day to day stuff so i havent been tweeting talk soon must sleep up in hr
51,0,no way damn that suck b are you ok
52,1,suck not being able to take day off of work or have the money to take the trip so sad
53,0,bed sorta today wa good sara ha strep thought angelina doe to i shared a water with her b they told me i will prob get it to
54,0,the recession her hotel are restructuring how the account are done add a bit more pressure in the short term but we'll cope
55,0,but i got dibs on sulu
56,1,aww onward and upwards now yay still sad to leave i bet
57,1,at once haha poor aby still get sore
58,1,diesel yaris mpg so sad it not available in the u that'd be awesome
59,1,i want to buy this great album but unfortunately i dont hav enuff fund it quot long time noisy quot
60,1,in all honesty pain blech
61,1,ok the passenger no one is alive they're all dead you just don't know it til the end then you cry
62,0,at home alone with not much to do
63,1,ia so much i haven't really been happy with any of cook choice for single
64,1,i fell asleep on the beach and didn't put on enough sunscreen lol
65,1,so i think my son might have the flu cause i def just cleaned up a stanky puke mess poor pumkpin
66,0,so great to see oin amp cynthia so happy dinner wa great cute little place too bad oin got sick afterwards
67,0,i cant give any bday nudge
68,1,and all woman who transfer their first impression sexual maternal onto a le 'threatening' man are themselves a weak a 'him'
69,0,brother bloom won't be opening this weekend in el paso i'll just buy brick and enjoy that until i can watch brother bloom
70,0,say i miss plurking
71,1,bitten to blood by my cat on my way for a rabies bacterin seems shot for month never wash my cat at home again they hate water
72,0,i miss voobys
73,0,neither are elp
74,0,dude that is my favorite sandwich place ever ummm did you take picture
75,1,is sad that shin ae got married and it wasn't to alex
76,1,sure you will tweet about this when you're back but news is abuzz about tr knight's leaving quot confirmed quot today muy triste
77,1,ohh thursday i have exam all day what about wednesday
78,0,there wa a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow am
79,1,i wa just thinking about how excited i am for you guy to move but then i realized how sad i am to see you go
80,1,goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car ha dimple now
81,1,i love those 'it'sakey' usb stick we only have the gb in australia
